,chr,left,right,size
3,chr1,4585500,4740500,155000
10,chr1,5043500,5088500,45000
36,chr1,8605500,8652500,47000
47,chr1,9855500,9931500,76000
48,chr1,9868500,9919500,51000
61,chr1,6342500,6401500,59000
73,chr1,7160500,7195500,35000
79,chr1,9868500,10109500,241000
80,chr1,9919500,10037500,118000
91,chr1,10672500,10761500,89000
100,chr1,11305500,11423500,118000
134,chr1,11985500,12035500,50000
142,chr1,12946500,13059500,113000
143,chr1,13063500,13145500,82000
199,chr1,18121500,18182500,61000
208,chr1,19343500,19383500,40000
216,chr1,20830500,20938500,108000
217,chr1,20833500,21014500,181000
220,chr1,20938500,20979500,41000
238,chr1,23945500,24061500,116000
254,chr1,22507500,22551500,44000
263,chr1,23444500,23478500,34000
264,chr1,23723500,23831500,108000
284,chr1,33692500,33836500,144000
287,chr1,33708500,33852500,144000
288,chr1,33708500,33947500,239000
291,chr1,33795500,33946500,151000
303,chr1,34046500,34180500,134000
309,chr1,34145500,34179500,34000
318,chr1,34540500,34596500,56000
349,chr1,35071500,35504500,433000
366,chr1,35239500,35305500,66000
369,chr1,35429500,35504500,75000
374,chr1,35570500,35755500,185000
376,chr1,35880500,35955500,75000
378,chr1,39698500,40007500,309000
387,chr1,40155500,40306500,151000
422,chr1,35851500,36174500,323000
423,chr1,35878500,36145500,267000
426,chr1,35956500,36103500,147000
435,chr1,36347500,36484500,137000
439,chr1,36408500,36484500,76000
440,chr1,36408500,36596500,188000
444,chr1,36494500,36539500,45000
446,chr1,36510500,36596500,86000
449,chr1,36551500,36596500,45000
454,chr1,36587500,36822500,235000
496,chr1,36824500,37141500,317000
525,chr1,37026500,37119500,93000
532,chr1,37311500,37487500,176000
533,chr1,37312500,37746500,434000
538,chr1,37339500,37580500,241000
544,chr1,37440500,37674500,234000
546,chr1,37490500,37746500,256000
547,chr1,37518500,37674500,156000
549,chr1,37579500,37677500,98000
559,chr1,37729500,37841500,112000
563,chr1,37929500,38036500,107000
565,chr1,37971500,38088500,117000
567,chr1,38030500,38130500,100000
570,chr1,38060500,38116500,56000
604,chr1,38241500,38677500,436000
614,chr1,38304500,38773500,469000
623,chr1,38366500,38451500,85000
624,chr1,38393500,38680500,287000
626,chr1,38431500,38693500,262000
628,chr1,38492500,38557500,65000
629,chr1,38693500,38807500,114000
630,chr1,38759500,38806500,47000
633,chr1,38875500,38937500,62000
652,chr1,39053500,39331500,278000
664,chr1,39163500,39235500,72000
666,chr1,39257500,39379500,122000
667,chr1,39276500,39568500,292000
675,chr1,39568500,39720500,152000
678,chr1,39616500,39689500,73000
721,chr1,42735500,42891500,156000
723,chr1,42953500,43033500,80000
728,chr1,43340500,43703500,363000
763,chr1,57582500,57989500,407000
774,chr1,52339500,52526500,187000
776,chr1,52395500,52472500,77000
783,chr1,52622500,52666500,44000
787,chr1,52670500,52883500,213000
793,chr1,52766500,52884500,118000
794,chr1,52766500,52994500,228000
833,chr1,53790500,53929500,139000
835,chr1,53823500,53906500,83000
840,chr1,53959500,54046500,87000
854,chr1,54706500,54870500,164000
855,chr1,54705500,54965500,260000
863,chr1,54965500,55066500,101000
875,chr1,55232500,55333500,101000
900,chr1,55468500,55794500,326000
906,chr1,55623500,55793500,170000
907,chr1,55655500,55709500,54000
913,chr1,62395500,62738500,343000
921,chr1,62778500,63003500,225000
923,chr1,62825500,62859500,34000
938,chr1,63241500,63286500,45000
946,chr1,57467500,58036500,569000
987,chr1,59158500,59276500,118000
988,chr1,59245500,59678500,433000
997,chr1,59481500,59662500,181000
998,chr1,59523500,59623500,100000
1009,chr1,59952500,60082500,130000
1011,chr1,60382500,60469500,87000
1014,chr1,60575500,60861500,286000
1032,chr1,61840500,61894500,54000
1099,chr1,64035500,64102500,67000
1107,chr1,64159500,64458500,299000
1123,chr1,64342500,64460500,118000
1124,chr1,64344500,64485500,141000
1173,chr1,71076500,71140500,64000
1177,chr1,71399500,71545500,146000
1178,chr1,71649500,71817500,168000
1228,chr1,72363500,72645500,282000
1230,chr1,72621500,72679500,58000
1240,chr1,72804500,72893500,89000
1243,chr1,72905500,73342500,437000
