BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	3060000	3065000	chr1	4450000	4455000	0.025484506777250386	2.599207668339954
chr1	3075000	3080000	chr1	4790000	4795000	0.07950105813070558	3.2
chr1	3080000	3085000	chr1	3380000	3385000	0.014550717679228959	3.2
chr1	3080000	3085000	chr1	3255000	3260000	0.013924838418839607	3.2
chr1	3090000	3095000	chr1	3310000	3315000	0.05633497445957088	3.2
chr1	3080000	3085000	chr1	3515000	3520000	0.09904835258231415	2.111212657236631
chr1	3085000	3090000	chr1	3170000	3175000	0.029812622884117852	3.2
chr1	3085000	3090000	chr1	3195000	3200000	0.06727285246331444	4.525483399593905
chr1	3085000	3090000	chr1	4055000	4060000	0.06727285246331444	2.111212657236631
chr1	3130000	3135000	chr1	3740000	3745000	0.07875498679401524	2.111212657236631
chr1	3740000	3745000	chr1	4215000	4220000	0.04229135141882332	2.599207668339954
chr1	3740000	3745000	chr1	4560000	4565000	0.07844389102566846	2.111212657236631
chr1	4485000	4490000	chr1	4830000	4835000	0.018174099038726594	3.6758347359905126
chr1	4575000	4580000	chr1	4830000	4835000	4.389992104558704e-06	3.2
chr1	4585000	4590000	chr1	5975000	5980000	0.096267679594099	2.111212657236631
chr1	4840000	4845000	chr1	5975000	5980000	0.00017112161257502948	2.111212657236631
chr1	4845000	4850000	chr1	4890000	4895000	0.00017308858698695178	2.111212657236631
chr1	4845000	4850000	chr1	4920000	4925000	0.00017112161257502948	2.111212657236631
chr1	4845000	4850000	chr1	4960000	4965000	0.001397194172020487	2.111212657236631
chr1	4845000	4850000	chr1	5145000	5150000	0.0005154357477164211	2.599207668339954
chr1	4870000	4875000	chr1	6280000	6285000	0.04425652854539467	2.111212657236631
chr1	4880000	4885000	chr1	4920000	4925000	0.00017308858698695178	2.111212657236631
chr1	4895000	4900000	chr1	4960000	4965000	0.09805892948057116	2.111212657236631
chr1	4905000	4910000	chr1	5975000	5980000	0.04425652854539467	2.599207668339954
chr1	4925000	4930000	chr1	6285000	6290000	0.0630461239653245	2.599207668339954
chr1	4940000	4945000	chr1	5150000	5155000	0.04449936608588813	2.599207668339954
chr1	4955000	4960000	chr1	6285000	6290000	0.07114136573468645	3.6758347359905126
chr1	4960000	4965000	chr1	5975000	5980000	0.0010784079305233472	3.2
chr1	4985000	4990000	chr1	5135000	5140000	0.005612752065547779	2.599207668339954
chr1	5055000	5060000	chr1	6240000	6245000	0.0052005550189389675	2.111212657236631
chr1	5080000	5085000	chr1	6285000	6290000	0.0507962986750946	2.599207668339954
chr1	5085000	5090000	chr1	5975000	5980000	0.004030019921244394	2.111212657236631
chr1	5135000	5140000	chr1	5975000	5980000	0.03249642530688936	2.599207668339954
chr1	5155000	5160000	chr1	6285000	6290000	0.09304057830897827	2.111212657236631
chr1	5170000	5175000	chr1	5975000	5980000	6.047556999067005e-06	2.111212657236631
chr1	5190000	5195000	chr1	6280000	6285000	0.06351634112665219	3.2
chr1	5210000	5215000	chr1	5975000	5980000	0.0023573389873464373	2.599207668339954
chr1	5240000	5245000	chr1	5850000	5855000	0.0507962986750946	3.6758347359905126
chr1	5245000	5250000	chr1	5975000	5980000	3.460813924327511e-06	2.111212657236631
chr1	5245000	5250000	chr1	5650000	5655000	0.041818897878836234	3.2
chr1	5280000	5285000	chr1	6200000	6205000	0.06850943718001168	1.8379173679952563
chr1	5295000	5300000	chr1	5855000	5860000	0.07073297509366197	3.2
chr1	5290000	5295000	chr1	5970000	5975000	0.008927414024105962	2.599207668339954
chr1	5460000	5465000	chr1	5915000	5920000	0.04870602330568649	3.6758347359905126
chr1	5475000	5480000	chr1	5965000	5970000	0.06727285246331444	2.111212657236631
chr1	5985000	5990000	chr1	6200000	6205000	9.860738336975317e-08	2.599207668339954
chr1	5985000	5990000	chr1	6270000	6275000	0.04425652854539467	2.599207668339954
chr1	6240000	6245000	chr1	7135000	7140000	0.025503810715818417	2.111212657236631
chr1	6240000	6245000	chr1	7305000	7310000	0.07950105813070558	2.111212657236631
chr1	6285000	6290000	chr1	6345000	6350000	0.05339785386101479	2.111212657236631
chr1	6285000	6290000	chr1	7160000	7165000	0.05633497445957088	2.599207668339954
chr1	6340000	6345000	chr1	6470000	6475000	0.00017308858698695178	2.111212657236631
chr1	6340000	6345000	chr1	7065000	7070000	0.09126821530412267	2.599207668339954
chr1	6475000	6480000	chr1	6925000	6930000	3.754431561938295e-07	2.111212657236631
chr1	6475000	6480000	chr1	7055000	7060000	0.00017308858698695178	3.2
chr1	6480000	6485000	chr1	7240000	7245000	0.07394384106546327	2.111212657236631
chr1	6505000	6510000	chr1	7125000	7130000	0.0031628876804756256	2.111212657236631
chr1	7075000	7080000	chr1	7210000	7215000	0.09809910832683774	2.599207668339954
chr1	7075000	7080000	chr1	7275000	7280000	0.0011193822009464608	2.111212657236631
chr1	7125000	7130000	chr1	7195000	7200000	0.0007607035760096952	2.111212657236631
chr1	7130000	7135000	chr1	7365000	7370000	0.06571134691200467	2.111212657236631
chr1	7130000	7135000	chr1	8855000	8860000	0.07194880588959736	2.111212657236631
chr1	7155000	7160000	chr1	9000000	9005000	0.038948365252424344	2.599207668339954
chr1	7195000	7200000	chr1	7460000	7465000	0.09639117369796855	2.111212657236631
chr1	7195000	7200000	chr1	9005000	9010000	0.000371944954266068	2.111212657236631
chr1	7290000	7295000	chr1	7840000	7845000	0.0028842990228124896	2.111212657236631
chr1	7300000	7305000	chr1	8845000	8850000	0.096267679594099	3.2
chr1	7305000	7310000	chr1	8135000	8140000	0.014851608044691433	2.111212657236631
chr1	7365000	7370000	chr1	7425000	7430000	0.0421119582743687	2.111212657236631
chr1	7365000	7370000	chr1	7680000	7685000	0.08829373528547563	2.111212657236631
chr1	7380000	7385000	chr1	9010000	9015000	0.09565914907441773	2.111212657236631
chr1	7420000	7425000	chr1	7680000	7685000	0.018851082725408537	2.111212657236631
chr1	7425000	7430000	chr1	8725000	8730000	0.04449936608588813	2.111212657236631
chr1	7425000	7430000	chr1	8855000	8860000	0.025503810715818417	2.111212657236631
chr1	7465000	7470000	chr1	7740000	7745000	0.09809910832683774	2.111212657236631
chr1	7465000	7470000	chr1	7840000	7845000	6.534375321903025e-05	2.111212657236631
chr1	7465000	7470000	chr1	8650000	8655000	0.055199094684159344	2.111212657236631
chr1	7465000	7470000	chr1	9005000	9010000	0.020856730070477506	2.111212657236631
chr1	7475000	7480000	chr1	7600000	7605000	0.011184664526308103	2.599207668339954
chr1	7610000	7615000	chr1	8470000	8475000	0.0848809038472233	2.599207668339954
chr1	7610000	7615000	chr1	9175000	9180000	0.030136349249217917	2.111212657236631
chr1	7615000	7620000	chr1	7835000	7840000	9.404527456791101e-07	2.111212657236631
chr1	7675000	7680000	chr1	8105000	8110000	0.06543693810252822	2.111212657236631
chr1	7680000	7685000	chr1	7780000	7785000	0.02927943924313626	2.111212657236631
chr1	7680000	7685000	chr1	8960000	8965000	0.07844389102566846	2.111212657236631
chr1	8475000	8480000	chr1	9170000	9175000	0.04377402687834037	2.111212657236631
chr1	8480000	8485000	chr1	8830000	8835000	0.028953578712671946	2.111212657236631
chr1	8480000	8485000	chr1	9610000	9615000	0.034734754781252944	2.111212657236631
chr1	8650000	8655000	chr1	9005000	9010000	0.0005480015338496991	2.111212657236631
chr1	8860000	8865000	chr1	8960000	8965000	0.024970685773130885	2.111212657236631
chr1	8855000	8860000	chr1	9020000	9025000	0.096267679594099	2.111212657236631
chr1	9010000	9015000	chr1	9610000	9615000	0.007622222956357834	2.111212657236631
chr1	9540000	9545000	chr1	9605000	9610000	0.013924838418839607	2.111212657236631
chr1	9535000	9540000	chr1	9770000	9775000	0.04425652854539467	2.111212657236631
chr1	9620000	9625000	chr1	9815000	9820000	0.09432897836287196	2.111212657236631
chr1	9635000	9640000	chr1	9730000	9735000	0.09809910832683774	2.111212657236631
chr1	9635000	9640000	chr1	9770000	9775000	1.352631515313026e-05	3.2
chr1	9690000	9695000	chr1	9770000	9775000	0.07073297509366197	2.111212657236631
chr1	27935000	27940000	chr1	28660000	28665000	0.04175649211721722	2.111212657236631
chr1	28430000	28435000	chr1	28495000	28500000	0.007377029248984863	2.111212657236631
chr1	28495000	28500000	chr1	28925000	28930000	0.017554521838955787	2.111212657236631
chr1	29045000	29050000	chr1	30375000	30380000	0.009064946194050131	2.111212657236631
chr1	29300000	29305000	chr1	30295000	30300000	0.04425647711040428	2.111212657236631
